ID,FAMILY,PAIR,SNPED,SexAN,Gen,Sire,Dam,NURSE,HSfamily,xfostpair,reciprocal,LSB,LSW,SEXR,COLOR$,DOB,SACDATE,DEAD,COHORT,FATPAD,WEIGHTN,TAIL,HEART,KIDNEY,SPLEEN,LIVER,WEEK1,WEEK2,WEEK3,WEEK4,WEEK5,WEEK6,WEEK7,WEEK8,WEEK9,WEEK10,grow12,grow23,grow13,grow16,grow310,grow610,grow14,grow410
1552,,,Y,F,F3,115,236,346,n,n,,,,2,black,35219,35317,14,2,0.6500498087,25.9118436987,79.8333735698,0.0940210358,0.2212302245,0.040548378,1.4309450335,3.7801245326,6.7676553107,10.0633079124,15.2557882204,18.4024074945,19.3130809192,19.6824195846,20.5168302353,20.8625230689,21.3560718847,2.987530778,3.2956526017,6.2831833797,15.5329563866,11.2927639724,2.0429909655,11.4756636878,6.1002836644
1554,,,Y,F,F3,115,236,346,n,n,,,,2,black,35219,35317,14,2,0.7600498087,30.4618436987,86.1633735698,0.1440210358,0.2762302245,0.050548378,1.8109450335,4.0421245326,7.1326553107,10.8323079124,16.7557882204,19.9824074945,21.5240809192,23.0144195846,24.1458302353,24.2585230689,25.7670718847,3.090530778,3.6996526017,6.7901833797,17.4819563866,14.9347639724,4.2429909655,12.7136636878,9.0112836644
1555,,,Y,F,F3,115,236,346,n,n,,,,2,black,35219,35317,14,2,0.7700498087,30.2418436987,99.8033735698,0.1140210358,0.2512302245,0.070548378,1.8909450335,3.5091245326,6.8326553107,10.9533079124,16.9207882204,19.9614074945,20.1780809192,20.1824195846,21.0698302353,21.9585230689,23.0720718847,3.323530778,4.1206526017,7.4441833797,16.6689563866,12.1187639724,2.8939909655,13.4116636878,6.1512836644
640,1,9,Y,M,F3,55,179,179,n,y,,10,10,3,black,35151,35297,20.8571428571,1,0.8896216827,30.1558604786,85.6625225456,0.1415486668,0.2610325756,0.0623425377,1.9237981698,5.187147393,6.7940921643,10.948239926,16.7845805476,21.0845930497,19.7231892666,19.5441868743,20.2506021046,21.5638369745,23.3973588047,1.6069447713,4.1541477617,5.7610925329,14.5360418736,12.4491188788,3.6741695381,11.5974331546,6.6127782571
641,1,9,Y,F,F3,55,179,179,n,y,,10,10,3,black,35151,35257,15.1428571429,1,2.0164701217,41.7519797245,87.7473264685,0.1334487818,0.3413414206,0.1341297418,2.3093038423,4.3108965017,6.8029428665,11.7744929672,19.2749879489,22.3482846979,23.771125664,25.2345854897,27.5033695555,27.9889138708,31.7632650872,2.4920463648,4.9715501007,7.4635964654,19.4602291622,19.98877212,7.9921394232,14.9640914471,12.4882771384
642,1,9,Y,M,F3,55,179,179,n,y,,10,10,3,black,35151,35296,20.7142857143,1,1.1906922678,32.1697904652,79.1819747586,0.1419863456,0.246949999,0.0725232907,1.8220648362,3.799370393,5.5785361643,10.481571926,16.0723605476,20.2525930497,22.6431892666,22.9511868743,24.0876021046,24.9598369745,25.2733588047,1.7791657713,4.9030357617,6.6822015329,18.8438188736,14.7917868788,2.6301695381,12.2729901546,9.2009982571
647,1,9,Y,F,F3,55,179,179,n,y,,10,10,3,black,35151,35257,15.1428571429,1,0.8264701217,30.9419797245,82.2373264685,0.1734487818,0.3013414206,0.1141297418,1.7493038423,4.5708965017,6.3329428665,9.6311549672,14.3749879489,19.6532846979,20.848125664,22.5195854897,23.2543695555,24.5139138708,26.3912650872,1.7620463648,3.2982121007,5.0602584654,16.2772291622,16.76011012,5.5431394232,9.8040914471,12.0162771384
649,1,9,Y,F,F3,55,179,179,n,y,,10,10,3,black,35151,35257,15.1428571429,1,0.9264701217,31.4519797245,84.3973264685,0.1334487818,0.3013414206,0.0641297418,1.6093038423,3.9342295017,6.0784988665,10.0867089672,16.5927679489,20.2972846979,21.919125664,22.5445854897,24.0143695555,24.6459138708,26.2092650872,2.1442693648,4.0082101007,6.1524794654,17.9848961622,16.12255612,4.2901394232,12.6585384471,9.6164971384
650,1,9,Y,M,F3,55,179,180,n,y,,10,11,7,black,35151,35258,15.2857142857,1,1.0677338635,32.4326562184,93.2213301609,0.1517029584,0.3270467231,0.0713407239,1.7959456721,5.6325622339,7.8538514438,12.0146920316,18.642129807,22.5874096959,23.6223538577,25.1642238322,26.7223554861,27.7840132215,28.6348460002,2.2212892099,4.1608405878,6.3821297977,17.9897916238,16.6201539687,5.0124921426,13.0095675731,9.9927161933
652,1,9,Y,M,F3,55,179,180,n,y,,10,11,7,black,35151,35257,15.1428571429,1,0.7688044487,29.356586205,91.8107823739,0.1621406372,0.2929641465,0.0915214769,1.7542123385,4.8536732339,7.8338514438,10.6746960316,16.052129807,21.3054096959,23.8483538577,23.7082238322,23.7933554861,24.2340132215,25.0828460002,2.9801782099,2.8408445878,5.8210227977,18.9946806238,14.4081499687,1.2344921426,11.1984565731,9.0307161933
653,1,9,Y,M,F3,55,179,180,n,y,,10,11,7,black,35151,35296,20.7142857143,1,1.7870516268,36.383316728,99.052146066,0.1850711636,0.3371846342,0.1044721102,1.9918123498,4.4092282339,7.9449624438,11.4313620316,18.608799807,24.1174096959,25.6483538577,27.2262238322,28.2513554861,30.2760132215,29.9588460002,3.5357342099,3.4863995878,7.0221337977,21.2391256238,18.5274839687,4.3104921426,14.1995715731,11.3500461933
655,1,9,Y,M,F3,55,179,180,n,y,,10,11,7,black,35151,35257,15.1428571429,1,0.7588044487,26.036586205,86.6407823739,0.1121406372,0.2479641465,0.0815214769,1.6342123385,3.2481182339,7.5471844438,10.7546950316,16.005459807,19.5124096959,19.6563538577,19.2422238322,19.7043554861,19.7510132215,20.7988460002,4.2990662099,3.2075105878,7.5065767977,16.4082356238,10.0441509687,1.1424921426,12.7573415731,4.7933861933
660,1,9,Y,M,F3,55,179,180,n,y,,10,11,7,black,35151,35257,15.1428571429,1,0.8188044487,25.366586205,78.0807823739,0.1321406372,0.2329641465,0.0715214769,1.6742123385,3.2747842339,6.5971844438,9.8058060316,14.048799807,17.6044096959,17.7293538577,18.7632238322,19.2873554861,19.9510132215,21.2318460002,3.3224002099,3.2086215878,6.5310217977,14.4545696238,11.4260399687,3.5024921426,10.7740155731,7.1830461933
664,2,10,Y,F,F3,56,182,198,n,y,,10,8,5,black,35151,35261,15.7142857143,1,0.741833245,29.4668582024,87.1224241342,0.1307747411,0.2651251421,0.0705801774,1.4699224112,3.9111190773,8.3091468034,11.4822763704,15.9407004506,20.0546495034,21.9443333489,21.9155740544,23.6249061133,25.2373726169,26.0270418179,4.3980277261,3.173129567,7.5711572932,18.0332142716,14.5447654475,4.082708469,12.0295813734,10.0863413673
665,2,10,Y,M,F3,56,182,198,n,y,,10,8,5,black,35151,35236,12.1428571429,1,,26.9361880847,84.6420140578,0.1373237488,0.2094488177,,2.0217500532,4.1329249686,7.6647391012,10.6382533292,15.3391830494,20.8549578552,21.8153969515,21.8031754391,23.8161386623,24.1152957207,24.3861355354,3.5318141326,2.973514228,6.5053283607,17.682471983,13.7478822062,2.5707385839,11.2062580809,9.046952486
666,2,10,Y,F,F3,56,182,198,n,y,,10,8,5,black,35151,35261,15.7142857143,1,0.521833245,30.6368582024,83.8424241342,0.0907747411,0.2801251421,0.0905801774,1.5799224112,3.9911190773,8.2102568034,11.7078263704,16.2762604506,21.7376495034,23.8903333489,25.8165740544,25.3909061133,26.2193726169,27.5720418179,4.2191377261,3.497569567,7.7167072932,19.8992142716,15.8642154475,3.681708469,12.2851413734,11.2957813673
667,2,10,Y,M,F3,56,182,198,n,y,,10,8,5,black,35151,35257,15.1428571429,1,0.6820905537,26.8636583664,80.2135175844,0.1381324938,0.2701829264,0.0767461049,1.6081500593,3.5195929686,6.7558501012,10.2304733292,14.9991830494,18.6189578552,18.2303969515,18.8731754391,19.4561386623,20.5222957207,21.4381355354,3.2362571326,3.474623228,6.7108803607,14.710803983,11.2076622062,3.2077385839,11.4795900809,6.438952486
668,2,10,Y,F,F3,56,182,198,n,y,,10,8,5,black,35151,35261,15.7142857143,1,0.901833245,30.7368582024,84.0224241342,0.1407747411,0.2751251421,0.0805801774,1.5299224112,5.2455630773,8.7580348034,12.7200563704,18.3351504506,21.4446495034,23.6333333489,24.0445740544,24.6449061133,25.8093726169,27.2060418179,3.5124717261,3.962021567,7.4744932932,18.3877702716,14.4859854475,3.572708469,13.0895873734,8.8708913673
671,2,10,Y,F,F3,56,182,182,n,y,,10,10,7,black,35151,35261,15.7142857143,1,0.632187781,27.5762597781,80.2195176164,0.1316980666,0.2576717271,0.0734067298,1.4962371768,3.0364525017,6.4951648665,10.1578199672,15.5005479489,19.3792846979,21.092125664,22.1875854897,23.5943695555,24.8849138708,26.2352650872,3.4587123648,3.6626551007,7.1213674654,18.0556731622,16.07744512,5.1431394232,12.4640954471,10.7347171384
673,2,10,Y,M,F3,56,182,182,n,y,,10,10,7,black,35151,35261,15.7142857143,1,0.558162749,23.3073399958,80.5128022145,0.127305104,0.2140598177,0.0688496454,1.3613981594,5.336036393,5.3974261643,8.106016926,13.1868105476,17.2175930497,19.0661892666,21.0111868743,21.1326021046,21.2978369745,22.2903588047,0.0613897713,2.7085907617,2.7699805329,13.7301528736,14.1843418788,3.2241695381,7.8507741546,9.1035482571
675,2,10,Y,M,F3,56,182,182,n,y,,10,10,7,black,35151,35261,15.7142857143,1,0.518162749,27.4773399958,84.0628022145,0.147305104,0.2090598177,0.0788496454,1.4813981594,3.944925393,6.7429801643,10.661569926,16.3279205476,20.5615930497,22.1571892666,23.1231868743,23.7186021046,24.6208369745,24.7343588047,2.7980547713,3.9185897617,6.7166445329,18.2122638736,14.0727888788,2.5771695381,12.3829951546,8.4064382571
676,2,10,Y,M,F3,56,182,182,n,y,,10,10,7,black,35151,35261,15.7142857143,1,0.508162749,30.6373399958,83.6528022145,0.117305104,0.2740598177,0.1088496454,1.9513981594,4.202704393,6.0863141643,10.338238926,15.4501405476,19.8695930497,20.1391892666,20.7621868743,22.3296021046,24.6348369745,25.4113588047,1.8836097713,4.2519247617,6.1355345329,15.9364848736,15.0731198788,5.2721695381,11.2474361546,9.9612182571
677,2,10,Y,M,F3,56,182,182,n,y,,10,10,7,black,35151,35236,12.1428571429,1,,26.5955896605,82.26910754,0.1682470742,0.2719954026,,1.9980648188,3.908259393,6.5752031643,10.957129926,15.4768105476,19.2145930497,18.4971892666,18.8931868743,20.6446021046,22.5378369745,23.5363588047,2.6669437713,4.3819267617,7.0488705329,14.5889298736,12.5792288788,5.0391695381,11.5685511546,8.0595482571
678,2,10,Y,M,F3,56,182,182,n,y,,10,10,7,black,35151,35261,15.7142857143,1,0.918162749,30.6273399958,83.4728022145,0.187305104,0.3740598177,0.1088496454,1.7213981594,3.874925393,6.4396471643,10.316016926,16.2334705476,20.8665930497,21.9151892666,22.2631868743,23.3986021046,24.2188369745,24.7743588047,2.5647217713,3.8763697617,6.4410915329,18.0402638736,14.4583418788,2.8591695381,12.3585451546,8.5408882571
555,3,4,Y,F,F3,107,137,137,y,y,,10,10,5,black,35150,35251,14.4285714286,1,1.5218230476,37.6116296574,99.3245875336,0.1656371759,0.3109285376,0.1050335067,1.9706371742,3.6964515017,7.8373878665,11.4211529672,19.2349879489,23.7882846979,26.524125664,28.3445854897,30.3793695555,30.8519138708,31.0202650872,4.1409363648,3.5837651007,7.7247014654,22.8276741622,19.59911212,4.4961394232,15.5385364471,11.7852771384
556,3,4,Y,M,F3,107,137,137,y,y,,10,10,5,black,35150,35297,21,1,1.0785510975,30.791930492,89.1530703326,0.131110988,0.2651151522,0.1021617847,1.8255315034,2.690481393,6.6852021643,9.831571926,13.7690305476,18.8955930497,21.0721892666,22.3071868743,23.1526021046,25.0118369745,24.9193588047,3.9947207713,3.1463697617,7.1410905329,18.3817078736,15.0877868788,3.8471695381,11.0785491546,11.1503282571
557,3,4,Y,M,F3,107,137,137,y,y,,10,10,5,black,35150,35256,15.1428571429,1,0.9924450897,33.3830599421,94.0306110665,0.1590558192,0.2877295113,0.2095726574,1.8544648249,4.953814393,7.6774251643,10.863799926,14.9679205476,20.5815930497,22.3101892666,23.8871868743,25.0986021046,26.5798369745,27.0433588047,2.7236107713,3.1863747617,5.9099855329,17.3563748736,16.1795588788,4.7331695381,10.0141061546,12.0754382571
558,3,4,Y,M,F3,107,137,137,y,y,,10,10,5,black,35150,35297,21,1,1.3485510975,42.291930492,91.7130703326,0.131110988,0.2601151522,0.1121617847,2.0855315034,3.190481393,6.8140921643,10.507128926,17.6590305476,22.2025930497,23.5401892666,26.3281868743,26.2366021046,28.7378369745,28.5553588047,3.6236107713,3.6930367617,7.3166475329,20.3497078736,18.0482298788,5.0151695381,14.4685491546,10.8963282571
559,3,4,Y,F,F3,107,137,137,y,y,,10,10,5,black,35150,35305,22.1428571429,1,0.954011448,32.1394103816,96.8741680303,0.1620025201,0.2213876744,0.1252728452,1.7642371898,4.4631185017,6.3684988665,9.5378209672,16.1094379489,20.6282846979,23.073125664,23.7275854897,24.9183695555,26.4519138708,27.0292650872,1.9053803648,3.1693221007,5.0747024654,18.6100071622,17.49144412,3.9561394232,11.6463194471,10.9198271384
560,3,4,Y,M,F3,107,137,117,y,y,,10,9,6,black,35150,35256,15.1428571429,1,1.3566117204,33.7272846305,102.3270154083,0.1384531719,0.3101033775,0.0918259982,1.9059621204,5.5731757354,7.8694472668,10.562236966,16.3918258618,21.7271026204,23.6423030793,25.435571702,26.7605741069,27.8579009048,29.0003021241,2.2962715314,2.6927896993,4.9890612307,18.0691273439,18.4380651581,5.3579990448,10.8186501264,12.6084762624
561,3,4,Y,F,F3,107,137,117,y,y,,10,9,6,black,35150,35277,18.1428571429,1,0.5081544636,34.4436746945,96.6852343368,0.1836548795,0.2894493955,0.0925872698,2.4672011439,5.4924798441,7.849408969,10.0140440072,13.953343263,19.8307942686,23.1932394767,23.7079703173,24.3613415579,25.363977801,25.6002084066,2.3569291249,2.1646350383,4.5215641631,17.7007596326,15.5861643993,2.4069689299,8.4608634189,11.6468651436
562,3,4,Y,M,F3,107,137,117,y,y,,10,9,6,black,35150,35256,15.1428571429,1,0.8266117204,29.9772846305,87.0470154083,0.1584531719,0.2501033775,0.0918259982,1.6259621204,2.6309537354,8.2238922668,10.895576966,17.0218258618,21.5321026204,22.0233030793,23.979571702,25.4305741069,26.3389009048,25.9593021241,5.5929385314,2.6716846993,8.2646232307,19.3923493439,15.0637251581,3.9359990448,14.3908721264,8.9374762624
563,3,4,Y,M,F3,107,137,117,y,y,,10,9,6,black,35150,35256,15.1428571429,1,1.5766117204,38.1972846305,102.3870154083,0.1684531719,0.3051033775,0.1118259982,2.0159621204,1.9009537354,6.8916702668,9.996684966,15.5373858618,21.1171026204,22.0923030793,23.855571702,27.7235741069,29.3109009048,29.9583021241,4.9907165314,3.1050146993,8.0957312307,20.1913493439,19.9616171581,7.8659990448,13.6364321264,14.4209162624
643,4,9,Y,M,F3,57,180,179,y,y,,11,10,3,black,35151,35257,15.1428571429,1,1.1124450897,37.1730599421,98.4406110665,0.1590558192,0.3027295113,0.1195726574,2.4844648249,4.123814393,6.7374251643,11.490459926,16.4823605476,21.6295930497,23.9091892666,24.9781868743,26.5826021046,27.7738369745,28.7093588047,2.6136107713,4.7530347617,7.3666455329,19.7853748736,17.2188988788,4.8001695381,12.3585461546,12.2269982571
644,4,9,Y,F,F3,57,180,179,y,y,,11,10,3,black,35151,35261,15.7142857143,1,0.652187781,30.4962597781,93.6695176164,0.1216980666,0.2626717271,0.0834067298,1.6462371768,2.7631185017,6.1473868665,10.0478209672,14.8816579489,19.7882846979,22.485125664,24.6175854897,24.5643695555,26.1989138708,27.2692650872,3.3842683648,3.9004341007,7.2847024654,19.7220071622,17.22144412,4.7841394232,12.1185394471,12.3876071384
645,4,9,Y,F,F3,57,180,179,y,y,,11,10,3,black,35151,35261,15.7142857143,1,1.412187781,37.4662597781,96.2095176164,0.1916980666,0.3326717271,0.1234067298,2.1462371768,3.9931185017,6.5207208665,11.1556029672,17.7472079489,23.0372846979,24.134125664,26.9975854897,29.3223695555,28.8069138708,31.9232650872,2.5276023648,4.6348821007,7.1624844654,20.1410071622,20.76766212,7.7891394232,13.7540894471,14.1760571384
646,4,9,Y,F,F3,57,180,179,y,y,,11,10,3,black,35151,35261,15.7142857143,1,2.402187781,42.4362597781,97.9595176164,0.1916980666,0.2976717271,0.1634067298,2.4462371768,3.8497855017,7.6329438665,12.1467129672,18.0560979489,23.5892846979,24.575125664,28.1745854897,30.9643695555,32.7439138708,33.2852650872,3.7831583648,4.5137691007,8.2969274654,20.7253401622,21.13855212,8.7101394232,14.2063124471,15.2291671384
648,4,9,Y,F,F3,57,180,179,y,y,,11,10,3,black,35151,35300,21.2857142857,1,0.4704349591,39.0229903012,92.5008813085,0.154628593,0.2418922147,0.0763573631,2.0738371881,3.4531185017,7.2207208665,11.0089329672,17.2649879489,22.0732846979,23.492125664,25.8925854897,28.4393695555,29.8969138708,29.9682650872,3.7676023648,3.7882121007,7.5558144654,20.0390071622,18.95933212,6.4761394232,13.8118694471,12.7032771384
651,4,9,Y,F,F3,57,180,180,y,y,,11,11,7,black,35151,35310,22.7142857143,1,0.5760884663,35.0472166981,95.7865304856,0.1733366228,0.262952616,0.1064986527,2.3309180379,3.6040883426,6.606035146,11.7876150728,19.7591972082,24.1961013441,24.996290255,26.2306224475,28.0861229371,27.9110901178,28.8867522827,3.0019468034,5.1815799268,8.1835267302,21.3922019124,17.0991372099,3.8904620277,16.1551088656,9.1275550745
654,4,9,Y,M,F3,57,180,180,y,y,,11,11,7,black,35151,35258,15.2857142857,1,1.2777338635,37.3526562184,89.4913301609,0.1517029584,0.2970467231,0.1213407239,2.1259456721,4.3792292339,8.6394074438,12.2869220316,18.951019807,24.8304096959,25.4353538577,26.5772238322,25.5573554861,26.7690132215,28.8708460002,4.2601782099,3.6475145878,7.9076927977,21.0561246238,16.5839239687,3.4354921426,14.5717905731,9.9198261933
656,4,9,Y,M,F3,57,180,180,y,y,,11,11,7,black,35151,35298,21,1,1.7249104565,37.7454567548,101.33324164,0.144195806,0.2753497874,0.1041106042,2.225279017,3.7703402339,8.1749624438,11.0269180316,16.945459807,22.8234096959,24.1973538577,28.7282238322,30.0463554861,31.8360132215,32.4218460002,4.4046222099,2.8519555878,7.2565777977,20.4270136238,21.3949279687,8.2244921426,13.1751195731,15.4763861933
657,4,9,Y,F,F3,57,180,180,y,y,,11,11,7,black,35151,35257,15.1428571429,1,0.9528294807,34.1255059873,92.2774977759,0.1165335998,0.2615760558,0.0960785613,1.7190513559,3.9040883426,8.210480146,11.0420550728,17.6103072082,20.6581013441,21.518290255,22.6666224475,24.2421229371,24.9850901178,26.5407522827,4.3063918034,2.8315749268,7.1379667302,17.6142019124,15.4986972099,5.0224620277,13.7062188656,8.9304450745
658,4,9,Y,F,F3,57,180,180,y,y,,11,11,7,black,35151,35298,21,1,0.1789354884,27.5843765372,94.6599570419,0.1285887686,0.2389616967,0.0986676886,1.3501180344,4.4663113426,7.810480146,10.8420550728,17.2647572082,22.5351013441,24.868290255,26.1526224475,27.2471229371,27.4060901178,27.2167522827,3.3441688034,3.0315749268,6.3757437302,20.4019789124,16.3746972099,2.3484620277,12.7984458656,9.9519950745
659,4,9,Y,F,F3,57,180,180,y,y,,11,11,7,black,35151,35300,21.2857142857,1,1.0767943181,41.596516564,98.3910526159,0.1677134109,0.3021268499,0.0983061826,2.4935847016,5.2996443426,8.176036146,12.9876050728,20.3814172082,24.1641013441,26.027290255,27.2346224475,28.9771229371,29.9730901178,30.1247522827,2.8763918034,4.8115689268,7.6879607302,20.7276459124,17.1371472099,4.0974620277,15.0817728656,9.7433350745
814,5,18,Y,F,F3,62,181,181,n,y,,7,7,1,white,35155,35285,18.5714285714,1,1.1516786393,35.8556785803,94.724265765,0.2146396015,0.3368745439,0.0899250657,2.0019476445,5.8005261298,9.035541306,13.0648494662,19.643107051,26.0033598863,28.0816786832,28.9953291854,33.8238694041,32.8025123506,33.934554778,3.2350151762,4.0293081602,7.2643233364,22.2811525534,20.8697053118,5.8528760948,13.8425809212,14.291447727
816,5,18,Y,F,F3,62,181,181,n,y,,7,7,1,white,35155,35285,18.5714285714,1,1.8016786393,39.5756785803,86.544265765,0.1846396015,0.3218745439,0.0899250657,1.8819476445,4.8905261298,7.887763306,11.6059594662,19.055107051,24.7873598863,26.2256786832,28.6763291854,30.7418694041,30.8285123506,32.242554778,2.9972371762,3.7181961602,6.7154333364,21.3351525534,20.6365953118,6.0168760948,14.1645809212,13.187447727
817,5,18,Y,F,F3,62,181,181,n,y,,7,7,1,white,35155,35285,18.5714285714,1,2.5316786393,40.5656785803,90.514265765,0.1846396015,0.3218745439,0.1199250657,2.3119476445,4.5871921298,8.419986306,11.1370694662,18.593107051,24.8413598863,26.6086786832,29.3123291854,31.5758694041,33.3805123506,34.920554778,3.8327941762,2.7170831602,6.5498773364,22.0214865534,23.7834853118,8.3118760948,14.0059149212,16.327447727
822,5,18,Y,F,F3,62,181,112,n,y,,7,12,6,white,35155,35263,15.4285714286,1,1.6081875404,40.2025480778,105.2456440855,0.1915297562,0.3266900543,0.1018607569,2.4227297639,5.5563437395,8.6060470177,11.6025552565,20.4585600948,27.4458593304,29.5812570073,31.5699874044,33.6785201788,34.3444741448,36.3043903545,3.0497032782,2.9965082387,6.0462115169,24.0249132678,24.701835098,6.7231333472,14.9022163552,15.8458302597
826,5,18,Y,F,F3,62,181,112,n,y,,7,12,6,black,35155,35263,15.4285714286,1,1.1481875404,35.7725480778,96.6356440855,0.1415297562,0.2916900543,0.1018607569,1.9827297639,5.1041207395,7.4249360177,10.5492222565,16.9215600948,20.6238593304,23.6622570073,25.7849874044,25.5405201788,26.8214741448,28.3183903545,2.3208152782,3.1242862387,5.4451015169,18.5581362678,17.769168098,4.6561333472,11.8174393552,11.3968302597
